tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
TMC001,01/15/2019 00:00,63.87,63.87,65.0,39.46,25,
TMC001,01/15/2019 00:05,65.83,65.83,65.0,38.28,25,
TMC001,01/15/2019 00:10,59.08,59.08,65.0,42.65,25,
TMC001,01/15/2019 00:15,63.54,63.54,65.0,39.66,25,
TMC001,01/15/2019 00:20,58.42,58.42,65.0,43.14,25,
TMC001,01/15/2019 00:25,55.94,55.94,65.0,45.04,25,
TMC001,01/15/2019 00:30,61.18,61.18,65.0,41.19,25,
TMC001,01/15/2019 00:35,62.01,62.01,65.0,40.64,25,
TMC001,01/15/2019 00:40,69.52,69.52,65.0,36.25,25,
TMC001,01/15/2019 00:45,65.82,65.82,65.0,38.29,25,
TMC001,01/15/2019 00:50,59.2,59.2,65.0,42.56,25,
TMC001,01/15/2019 00:55,65.77,65.77,65.0,38.32,25,
TMC001,01/15/2019 01:00,54.21,54.21,65.0,46.48,25,
TMC001,01/15/2019 01:05,56.52,56.52,65.0,44.59,25,
TMC001,01/15/2019 01:10,62.99,62.99,65.0,40.0,25,
TMC001,01/15/2019 01:15,56.16,56.16,65.0,44.87,25,
TMC001,01/15/2019 01:20,60.41,60.41,65.0,41.72,25,
TMC001,01/15/2019 01:25,60.44,60.44,65.0,41.7,25,
TMC001,01/15/2019 01:30,57.67,57.67,65.0,43.7,25,
TMC001,01/15/2019 01:35,60.82,60.82,65.0,41.43,25,
TMC001,01/15/2019 01:40,60.19,60.19,65.0,41.87,25,
TMC001,01/15/2019 01:45,62.35,62.35,65.0,40.42,25,
TMC001,01/15/2019 01:50,63.88,63.88,65.0,39.45,25,
TMC001,01/15/2019 01:55,63.36,63.36,65.0,39.77,25,
TMC001,01/15/2019 02:00,61.81,61.81,65.0,40.77,25,
TMC001,01/15/2019 02:05,66.19,66.19,65.0,38.07,25,
TMC001,01/15/2019 02:10,56.77,56.77,65.0,44.39,25,
TMC001,01/15/2019 02:15,55.58,55.58,65.0,45.34,25,
TMC001,01/15/2019 02:20,61.35,61.35,65.0,41.08,25,
TMC001,01/15/2019 02:25,61.33,61.33,65.0,41.09,25,
TMC001,01/15/2019 02:30,63.53,63.53,65.0,39.67,25,
TMC001,01/15/2019 02:35,58.04,58.04,65.0,43.42,25,
TMC001,01/15/2019 02:40,55.44,55.44,65.0,45.45,25,
TMC001,01/15/2019 02:45,60.42,60.42,65.0,41.71,25,
TMC001,01/15/2019 02:50,60.75,60.75,65.0,41.48,25,
TMC001,01/15/2019 02:55,64.36,64.36,65.0,39.16,25,
TMC001,01/15/2019 03:00,57.31,57.31,65.0,43.97,25,
TMC001,01/15/2019 03:05,55.6,55.6,65.0,45.32,25,
TMC001,01/15/2019 03:10,62.29,62.29,65.0,40.46,25,
TMC001,01/15/2019 03:15,63.96,63.96,65.0,39.4,25,
TMC001,01/15/2019 03:20,61.03,61.03,65.0,41.29,25,
TMC001,01/15/2019 03:25,62.8,62.8,65.0,40.12,25,
TMC001,01/15/2019 03:30,65.84,65.84,65.0,38.27,25,
TMC001,01/15/2019 03:35,60.91,60.91,65.0,41.37,25,
TMC001,01/15/2019 03:40,62.29,62.29,65.0,40.46,25,
TMC001,01/15/2019 03:45,65.25,65.25,65.0,38.62,25,
TMC001,01/15/2019 03:50,61.76,61.76,65.0,40.81,25,
TMC001,01/15/2019 03:55,57.24,57.24,65.0,44.03,25,
TMC001,01/15/2019 04:00,64.19,64.19,65.0,39.26,25,
TMC001,01/15/2019 04:05,58.17,58.17,65.0,43.32,25,
TMC001,01/15/2019 04:10,63.94,63.94,65.0,39.41,25,
TMC001,01/15/2019 04:15,57.88,57.88,65.0,43.54,25,
TMC001,01/15/2019 04:20,61.85,61.85,65.0,40.74,25,
TMC001,01/15/2019 04:25,59.21,59.21,65.0,42.56,25,
TMC001,01/15/2019 04:30,57.86,57.86,65.0,43.55,25,
TMC001,01/15/2019 04:35,57.26,57.26,65.0,44.01,25,
TMC001,01/15/2019 04:40,57.15,57.15,65.0,44.1,25,
TMC001,01/15/2019 04:45,57.16,57.16,65.0,44.09,25,
TMC001,01/15/2019 04:50,64.57,64.57,65.0,39.03,25,
TMC001,01/15/2019 04:55,64.23,64.23,65.0,39.23,25,
TMC001,01/15/2019 05:00,59.26,59.26,65.0,42.52,25,
TMC001,01/15/2019 05:05,59.52,59.52,65.0,42.34,25,
TMC001,01/15/2019 05:10,63.57,63.57,65.0,39.64,25,
TMC001,01/15/2019 05:15,64.91,64.91,65.0,38.83,25,
TMC001,01/15/2019 05:20,63.26,63.26,65.0,39.83,25,
TMC001,01/15/2019 05:25,62.65,62.65,65.0,40.22,25,
TMC001,01/15/2019 05:30,55.67,55.67,65.0,45.27,25,
TMC001,01/15/2019 05:35,59.99,59.99,65.0,42.0,25,
TMC001,01/15/2019 05:40,63.41,63.41,65.0,39.74,25,
TMC001,01/15/2019 05:45,56.1,56.1,65.0,44.92,25,
TMC001,01/15/2019 05:50,62.14,62.14,65.0,40.55,25,
TMC001,01/15/2019 05:55,60.66,60.66,65.0,41.55,25,
TMC001,01/15/2019 06:00,69.33,69.33,65.0,36.35,25,
TMC001,01/15/2019 06:05,63.3,63.3,65.0,39.81,25,
TMC001,01/15/2019 06:10,64.73,64.73,65.0,38.93,25,
TMC001,01/15/2019 06:15,61.71,61.71,65.0,40.83,25,
TMC001,01/15/2019 06:20,61.02,61.02,65.0,41.3,25,
TMC001,01/15/2019 06:25,61.48,61.48,65.0,40.99,25,
TMC001,01/15/2019 06:30,55.7,55.7,65.0,45.24,25,
TMC001,01/15/2019 06:35,58.64,58.64,65.0,42.98,25,
TMC001,01/15/2019 06:40,57.32,57.32,65.0,43.97,25,
TMC001,01/15/2019 06:45,52.45,52.45,65.0,48.05,25,
TMC001,01/15/2019 06:50,55.28,55.28,65.0,45.59,25,
TMC001,01/15/2019 06:55,44.05,44.05,65.0,57.21,25,100.0
TMC001,01/15/2019 07:00,44.53,44.53,65.0,56.6,25,100.0
