tmc,free_flow_speed_uf,critical_density_kc,shape_parameter_m,capacity,speed_at_capacity_uc
TMC001,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC002,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC003,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC004,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC005,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC006,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC007,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC008,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC009,75.0,31.91799993067012,6.0,1900,59.52753944880748
TMC010,75.0,31.91799993067012,6.0,1900,59.52753944880748
